Função,Vetor,Max,Min,Estado,Tempo Médio
MaxMin1,1,1000,1,aleatório,5.5e-06
MaxMin1,1,1000,1,crescente,8.35e-06
MaxMin1,1,1000,1,decrescente,8.535e-06
MaxMin1,2,1000,0,aleatório,5.28535e-05
MaxMin1,2,1000,0,crescente,6.64853e-05
MaxMin1,2,1000,0,decrescente,8.17485e-05
MaxMin1,3,1000,0,aleatório,0.000598475
MaxMin1,3,1000,0,crescente,0.000706847
MaxMin1,3,1000,0,decrescente,0.000712985
MaxMin1,4,1000,0,aleatório,0.0030513
MaxMin1,4,1000,0,crescente,0.00227243
MaxMin1,4,1000,0,decrescente,0.00222204
MaxMin2,1,1000,1,aleatório,0.000226204
MaxMin2,1,1000,1,crescente,2.74204e-05
MaxMin2,1,1000,1,decrescente,8.34204e-06
MaxMin2,2,1000,0,aleatório,4.08342e-05
MaxMin2,2,1000,0,crescente,6.14834e-05
MaxMin2,2,1000,0,decrescente,5.45483e-05
MaxMin2,3,1000,0,aleatório,0.000508155
MaxMin2,3,1000,0,crescente,0.000674715
MaxMin2,3,1000,0,decrescente,0.000526772
MaxMin2,4,1000,0,aleatório,0.00307218
MaxMin2,4,1000,0,crescente,0.00232312
MaxMin2,4,1000,0,decrescente,0.00213991
MaxMin3,1,1000,1,aleatório,0.000217091
MaxMin3,1,1000,1,crescente,2.48091e-05
MaxMin3,1,1000,1,decrescente,5.98091e-06
MaxMin3,2,1000,0,aleatório,7.19981e-05
MaxMin3,2,1000,0,crescente,4.33998e-05
MaxMin3,2,1000,0,decrescente,4.134e-05
MaxMin3,3,1000,0,aleatório,0.000879734
MaxMin3,3,1000,0,crescente,0.000549873
MaxMin3,3,1000,0,decrescente,0.000406187
MaxMin3,4,1000,0,aleatório,0.00374392
MaxMin3,4,1000,0,crescente,0.00187789
MaxMin3,4,1000,0,decrescente,0.00164199
